parent_dataset,parent_column,child_dataset,child_column,overlap,score,confidence
customers_dataset,customer_id,products_dataset,product_name_lenght,0.0,30,Low
sellers_dataset,seller_id,order_items_dataset,order_item_id,0.0,30,Low
sellers_dataset,seller_id,products_dataset,product_name_lenght,0.0,30,Low
customers_dataset,customer_id,order_reviews_dataset,review_score,0.0,30,Low
order_reviews_dataset,order_id,products_dataset,product_name_lenght,0.0,30,Low
order_reviews_dataset,review_id,sellers_dataset,seller_zip_code_prefix,0.0,30,Low
order_reviews_dataset,review_id,customers_dataset,customer_zip_code_prefix,0.0,30,Low
order_reviews_dataset,review_id,geolocation_dataset,geolocation_lng,0.0,30,Low
orders_dataset,order_id,sellers_dataset,seller_zip_code_prefix,0.0,30,Low
order_reviews_dataset,review_id,geolocation_dataset,geolocation_lat,0.0,30,Low
order_reviews_dataset,review_id,geolocation_dataset,geolocation_zip_code_prefix,0.0,30,Low
order_reviews_dataset,review_id,order_items_dataset,freight_value,0.0,30,Low
order_reviews_dataset,review_id,order_items_dataset,price,0.0,30,Low
order_reviews_dataset,review_id,order_items_dataset,shipping_limit_date,0.0,30,Low
orders_dataset,order_id,products_dataset,product_name_lenght,0.0,30,Low
orders_dataset,order_id,products_dataset,product_description_lenght,0.0,30,Low
orders_dataset,order_id,products_dataset,product_photos_qty,0.0,30,Low
orders_dataset,order_id,products_dataset,product_weight_g,0.0,30,Low
orders_dataset,order_id,products_dataset,product_length_cm,0.0,30,Low
orders_dataset,order_id,products_dataset,product_height_cm,0.0,30,Low
orders_dataset,order_id,products_dataset,product_width_cm,0.0,30,Low
order_reviews_dataset,review_id,order_items_dataset,order_item_id,0.0,30,Low
orders_dataset,order_id,order_reviews_dataset,review_score,0.0,30,Low
customers_dataset,customer_id,sellers_dataset,seller_zip_code_prefix,0.0,30,Low
orders_dataset,order_id,order_reviews_dataset,review_answer_timestamp,0.0,30,Low
orders_dataset,order_id,order_payments_dataset,payment_sequential,0.0,30,Low
order_reviews_dataset,order_id,customers_dataset,customer_zip_code_prefix,0.0,30,Low
order_reviews_dataset,order_id,geolocation_dataset,geolocation_lng,0.0,30,Low
orders_dataset,order_id,order_payments_dataset,payment_installments,0.0,30,Low
order_reviews_dataset,order_id,geolocation_dataset,geolocation_lat,0.0,30,Low
order_reviews_dataset,order_id,products_dataset,product_photos_qty,0.0,30,Low
order_reviews_dataset,order_id,products_dataset,product_weight_g,0.0,30,Low
order_reviews_dataset,order_id,products_dataset,product_length_cm,0.0,30,Low
order_reviews_dataset,order_id,products_dataset,product_height_cm,0.0,30,Low
order_reviews_dataset,order_id,products_dataset,product_width_cm,0.0,30,Low
order_reviews_dataset,order_id,orders_dataset,order_purchase_timestamp,0.0,30,Low
order_reviews_dataset,order_id,orders_dataset,order_approved_at,0.0,30,Low
order_reviews_dataset,order_id,orders_dataset,order_delivered_carrier_date,0.0,30,Low
order_reviews_dataset,order_id,orders_dataset,order_delivered_customer_date,0.0,30,Low
order_reviews_dataset,order_id,orders_dataset,order_estimated_delivery_date,0.0,30,Low
order_reviews_dataset,order_id,order_payments_dataset,payment_sequential,0.0,30,Low
order_reviews_dataset,order_id,order_payments_dataset,payment_installments,0.0,30,Low
order_reviews_dataset,order_id,order_payments_dataset,payment_value,0.0,30,Low
order_reviews_dataset,order_id,sellers_dataset,seller_zip_code_prefix,0.0,30,Low
order_reviews_dataset,order_id,order_items_dataset,order_item_id,0.0,30,Low
order_reviews_dataset,order_id,order_items_dataset,shipping_limit_date,0.0,30,Low
order_reviews_dataset,order_id,order_items_dataset,price,0.0,30,Low
order_reviews_dataset,order_id,order_items_dataset,freight_value,0.0,30,Low
order_reviews_dataset,order_id,geolocation_dataset,geolocation_zip_code_prefix,0.0,30,Low
order_reviews_dataset,review_id,order_payments_dataset,payment_value,0.0,30,Low
orders_dataset,order_id,order_payments_dataset,payment_value,0.0,30,Low
orders_dataset,customer_id,geolocation_dataset,geolocation_lng,0.0,30,Low
orders_dataset,customer_id,products_dataset,product_photos_qty,0.0,30,Low
orders_dataset,customer_id,products_dataset,product_length_cm,0.0,30,Low
orders_dataset,customer_id,products_dataset,product_height_cm,0.0,30,Low
orders_dataset,customer_id,products_dataset,product_width_cm,0.0,30,Low
order_reviews_dataset,review_id,products_dataset,product_photos_qty,0.0,30,Low
order_reviews_dataset,review_id,products_dataset,product_description_lenght,0.0,30,Low
orders_dataset,customer_id,order_reviews_dataset,review_score,0.0,30,Low
orders_dataset,customer_id,order_reviews_dataset,review_creation_date,0.0,30,Low
orders_dataset,customer_id,order_reviews_dataset,review_answer_timestamp,0.0,30,Low
order_reviews_dataset,review_id,products_dataset,product_name_lenght,0.0,30,Low
orders_dataset,customer_id,order_payments_dataset,payment_sequential,0.0,30,Low
orders_dataset,customer_id,order_payments_dataset,payment_installments,0.0,30,Low
orders_dataset,customer_id,order_payments_dataset,payment_value,0.0,30,Low
order_reviews_dataset,order_id,products_dataset,product_description_lenght,0.0,30,Low
orders_dataset,customer_id,order_items_dataset,order_item_id,0.0,30,Low
orders_dataset,customer_id,order_items_dataset,shipping_limit_date,0.0,30,Low
orders_dataset,customer_id,order_items_dataset,price,0.0,30,Low
orders_dataset,customer_id,order_items_dataset,freight_value,0.0,30,Low
orders_dataset,customer_id,geolocation_dataset,geolocation_zip_code_prefix,0.0,30,Low
orders_dataset,customer_id,geolocation_dataset,geolocation_lat,0.0,30,Low
orders_dataset,customer_id,products_dataset,product_weight_g,0.0,30,Low
orders_dataset,customer_id,products_dataset,product_description_lenght,0.0,30,Low
order_reviews_dataset,review_id,order_payments_dataset,payment_installments,0.0,30,Low
orders_dataset,customer_id,products_dataset,product_name_lenght,0.0,30,Low
orders_dataset,order_id,order_items_dataset,order_item_id,0.0,30,Low
order_reviews_dataset,review_id,order_payments_dataset,payment_sequential,0.0,30,Low
orders_dataset,order_id,order_items_dataset,shipping_limit_date,0.0,30,Low
orders_dataset,order_id,order_items_dataset,price,0.0,30,Low
orders_dataset,order_id,order_items_dataset,freight_value,0.0,30,Low
orders_dataset,order_id,geolocation_dataset,geolocation_zip_code_prefix,0.0,30,Low
orders_dataset,order_id,geolocation_dataset,geolocation_lat,0.0,30,Low
orders_dataset,order_id,geolocation_dataset,geolocation_lng,0.0,30,Low
order_reviews_dataset,review_id,orders_dataset,order_estimated_delivery_date,0.0,30,Low
order_reviews_dataset,review_id,orders_dataset,order_delivered_customer_date,0.0,30,Low
order_reviews_dataset,review_id,orders_dataset,order_delivered_carrier_date,0.0,30,Low
orders_dataset,order_id,customers_dataset,customer_zip_code_prefix,0.0,30,Low
order_reviews_dataset,review_id,orders_dataset,order_approved_at,0.0,30,Low
order_reviews_dataset,review_id,orders_dataset,order_purchase_timestamp,0.0,30,Low
orders_dataset,customer_id,sellers_dataset,seller_zip_code_prefix,0.0,30,Low
order_reviews_dataset,review_id,products_dataset,product_width_cm,0.0,30,Low
order_reviews_dataset,review_id,products_dataset,product_height_cm,0.0,30,Low
order_reviews_dataset,review_id,products_dataset,product_length_cm,0.0,30,Low
order_reviews_dataset,review_id,products_dataset,product_weight_g,0.0,30,Low
orders_dataset,order_id,order_reviews_dataset,review_creation_date,0.0,30,Low
