dataset_name,column_name,pandas_dtype,business_datatype,sample_values
order_reviews_dataset,order_id,str,Primary Key,"['73fc7af87114b39712e6da79b0a377eb', 'a548910a1c6147796b98fdf73dbeba33', 'f9e4b658b201a9f2ecdecbb34bed034b', '658677c97b385a9be170737859d3511b', '8e6bfb81e283fa7e4f11123a3fb894f1']"
order_reviews_dataset,review_score,int64,Rating,"[4, 5, 5, 5, 5]"
order_reviews_dataset,review_creation_date,datetime64[us],Datetime,[]
order_reviews_dataset,review_answer_timestamp,datetime64[us],Primary Key,[]
orders_dataset,order_id,str,Primary Key,"['e481f51cbdc54678b7cc49136f2d6af7', '53cdb2fc8bc7dce0b6741e2150273451', '47770eb9100c2d0c44946d9cf07ec65d', '949d5b44dbf5de918fe9c16f97b45f8a', 'ad21c59c0840e6cb83a9ceb5573f8159']"
orders_dataset,customer_id,str,Primary Key,"['9ef432eb6251297304e76186b10a928d', 'b0830fb4747a6c6d20dea0b8c802d7ef', '41ce2a54c0b03bf3443c3d931a367089', 'f88197465ea7920adcdbec7375364d82', '8ab97904e6daea8866dbdbc4fb7aad2c']"
orders_dataset,order_status,str,Category,"['delivered', 'delivered', 'delivered', 'delivered', 'delivered']"
orders_dataset,order_purchase_timestamp,datetime64[us],Primary Key,[]
orders_dataset,order_approved_at,datetime64[us],Datetime,[]
orders_dataset,order_delivered_carrier_date,datetime64[us],Datetime,[]
orders_dataset,order_delivered_customer_date,datetime64[us],Datetime,[]
orders_dataset,order_estimated_delivery_date,datetime64[us],Datetime,[]
product_category_name_translati,Column1,str,Primary Key,"['product_category_name', 'beleza_saude', 'informatica_acessorios', 'automotivo', 'cama_mesa_banho']"
product_category_name_translati,Column2,str,Primary Key,"['product_category_name_english', 'health_beauty', 'computers_accessories', 'auto', 'bed_bath_table']"
products_dataset,product_id,str,Primary Key,"['1e9e8ef04dbcff4541ed26657ea517e5', '3aa071139cb16b67ca9e5dea641aaa2f', '96bd76ec8810374ed1b65e291975717f', 'cef67bcfe19066a932b7673e239eb23d', '9dc1a7de274444849c219cff195d0b71']"
products_dataset,product_category_name,str,Category,"['perfumaria', 'artes', 'esporte_lazer', 'bebes', 'utilidades_domesticas']"
products_dataset,product_name_lenght,float64,Decimal,"[40.0, 44.0, 46.0, 27.0, 37.0]"
