dataset_name,column_name,pandas_dtype,nullable,missing_count,missing_percentage,unique_count,unique_percentage,duplicate_count,memory_usage_mb,sample_values
orders_dataset,order_id,str,False,0,0.0,99441,100.0,0,7.68,"['e481f51cbdc54678b7cc49136f2d6af7', '53cdb2fc8bc7dce0b6741e2150273451', '47770eb9100c2d0c44946d9cf07ec65d', '949d5b44dbf5de918fe9c16f97b45f8a', 'ad21c59c0840e6cb83a9ceb5573f8159']"
orders_dataset,customer_id,str,False,0,0.0,99441,100.0,0,7.68,"['9ef432eb6251297304e76186b10a928d', 'b0830fb4747a6c6d20dea0b8c802d7ef', '41ce2a54c0b03bf3443c3d931a367089', 'f88197465ea7920adcdbec7375364d82', '8ab97904e6daea8866dbdbc4fb7aad2c']"
orders_dataset,order_status,str,False,0,0.0,8,0.01,99433,5.5,"['delivered', 'delivered', 'delivered', 'delivered', 'delivered']"
orders_dataset,order_purchase_timestamp,datetime64[us],False,0,0.0,98875,99.43,566,0.76,"[Timestamp('2017-10-02 10:56:33'), Timestamp('2018-07-24 20:41:37'), Timestamp('2018-08-08 08:38:49'), Timestamp('2017-11-18 19:28:06'), Timestamp('2018-02-13 21:18:39')]"
orders_dataset,order_approved_at,datetime64[us],True,160,0.16,90733,91.24,8708,0.76,"[Timestamp('2017-10-02 11:07:15'), Timestamp('2018-07-26 03:24:27'), Timestamp('2018-08-08 08:55:23'), Timestamp('2017-11-18 19:45:59'), Timestamp('2018-02-13 22:20:29')]"
orders_dataset,order_delivered_carrier_date,datetime64[us],True,1783,1.79,81018,81.47,18423,0.76,"[Timestamp('2017-10-04 19:55:00'), Timestamp('2018-07-26 14:31:00'), Timestamp('2018-08-08 13:50:00'), Timestamp('2017-11-22 13:39:59'), Timestamp('2018-02-14 19:46:34')]"
orders_dataset,order_delivered_customer_date,datetime64[us],True,2965,2.98,95664,96.2,3777,0.76,"[Timestamp('2017-10-10 21:25:13'), Timestamp('2018-08-07 15:27:45'), Timestamp('2018-08-17 18:06:29'), Timestamp('2017-12-02 00:28:42'), Timestamp('2018-02-16 18:17:02')]"
orders_dataset,order_estimated_delivery_date,datetime64[us],False,0,0.0,459,0.46,98982,0.76,"[Timestamp('2017-10-18 00:00:00'), Timestamp('2018-08-13 00:00:00'), Timestamp('2018-09-04 00:00:00'), Timestamp('2017-12-15 00:00:00'), Timestamp('2018-02-26 00:00:00')]"
