dataset_name,column_name,pandas_dtype,nullable,missing_count,missing_percentage,unique_count,unique_percentage,duplicate_count,memory_usage_mb,sample_values
order_items_dataset,order_id,str,False,0,0.0,98666,87.59,13984,8.7,"['00010242fe8c5a6d1ba2dd792cb16214', '00018f77f2f0320c557190d7a144bdd3', '000229ec398224ef6ca0657da4fc703e', '00024acbcdf0a6daa1e931b038114c75', '00042b26cf59d7ce69dfabb4e55b4fd9']"
order_items_dataset,order_item_id,int64,False,0,0.0,21,0.02,112629,0.86,"[1, 1, 1, 1, 1]"
order_items_dataset,product_id,str,False,0,0.0,32951,29.25,79699,8.7,"['4244733e06e7ecb4970a6e2683c13e61', 'e5f2d52b802189ee658865ca93d83a8f', 'c777355d18b72b67abbeef9df44fd0fd', '7634da152a4610f1595efa32f14722fc', 'ac6c3623068f30de03045865e4e10089']"
order_items_dataset,seller_id,str,False,0,0.0,3095,2.75,109555,8.7,"['48436dade18ac8b2bce089ec2a041202', 'dd7ddc04e1b6c2c614352b383efe2d36', '5b51032eddd242adc84c38acab88f23d', '9d7a1d34a5052409006425275ba1c2b4', 'df560393f3a51e74553ab94004ba5c87']"
order_items_dataset,shipping_limit_date,datetime64[us],False,0,0.0,93318,82.84,19332,0.86,"[Timestamp('2017-09-19 09:45:35'), Timestamp('2017-05-03 11:05:13'), Timestamp('2018-01-18 14:48:30'), Timestamp('2018-08-15 10:10:18'), Timestamp('2017-02-13 13:57:51')]"
order_items_dataset,price,float64,False,0,0.0,5968,5.3,106682,0.86,"[58.9, 239.9, 199.0, 12.99, 199.9]"
order_items_dataset,freight_value,float64,False,0,0.0,6999,6.21,105651,0.86,"[13.29, 19.93, 17.87, 12.79, 18.14]"
