Dataset,Column,Pandas Datatype,Business Datatype,Nullable,Missing %,Unique %,Primary Key Candidate,Sample Values,Description,Source File,Rows,Columns,Mean,Median,Mode
order_reviews_dataset,order_id,str,Primary Key,No,0.0,99.44,Yes,"['73fc7af87114b39712e6da79b0a377eb', 'a548910a1c6147796b98fdf73dbeba33', 'f9e4b658b201a9f2ecdecbb34bed034b', '658677c97b385a9be170737859d3511b', '8e6bfb81e283fa7e4f11123a3fb894f1']",,NexaCart_Data.xlsx,99224,5,,,03c939fd7fd3b38f8485a0f95798f1f6
order_reviews_dataset,review_score,int64,Rating,No,0.0,0.01,No,"[4, 5, 5, 5, 5]",,NexaCart_Data.xlsx,99224,5,4.0864,5.0,
order_reviews_dataset,review_creation_date,datetime64[us],Datetime,No,0.0,0.64,No,"[Timestamp('2018-01-18 00:00:00'), Timestamp('2018-03-10 00:00:00'), Timestamp('2018-02-17 00:00:00'), Timestamp('2017-04-21 00:00:00'), Timestamp('2018-03-01 00:00:00')]",,NexaCart_Data.xlsx,99224,5,,,2017-12-19 00:00:00
order_reviews_dataset,review_answer_timestamp,datetime64[us],Primary Key,No,0.0,99.02,Yes,"[Timestamp('2018-01-18 21:46:59'), Timestamp('2018-03-11 03:05:13'), Timestamp('2018-02-18 14:36:24'), Timestamp('2017-04-21 22:02:06'), Timestamp('2018-03-02 10:26:53')]",,NexaCart_Data.xlsx,99224,5,,,2017-06-15 23:21:05
orders_dataset,order_id,str,Primary Key,No,0.0,100.0,Yes,"['e481f51cbdc54678b7cc49136f2d6af7', '53cdb2fc8bc7dce0b6741e2150273451', '47770eb9100c2d0c44946d9cf07ec65d', '949d5b44dbf5de918fe9c16f97b45f8a', 'ad21c59c0840e6cb83a9ceb5573f8159']",,NexaCart_Data.xlsx,99441,8,,,00010242fe8c5a6d1ba2dd792cb16214
orders_dataset,customer_id,str,Primary Key,No,0.0,100.0,Yes,"['9ef432eb6251297304e76186b10a928d', 'b0830fb4747a6c6d20dea0b8c802d7ef', '41ce2a54c0b03bf3443c3d931a367089', 'f88197465ea7920adcdbec7375364d82', '8ab97904e6daea8866dbdbc4fb7aad2c']",,NexaCart_Data.xlsx,99441,8,,,00012a2ce6f8dcda20d059ce98491703
orders_dataset,order_status,str,Category,No,0.0,0.01,No,"['delivered', 'delivered', 'delivered', 'delivered', 'delivered']",,NexaCart_Data.xlsx,99441,8,,,delivered
orders_dataset,order_purchase_timestamp,datetime64[us],Primary Key,No,0.0,99.43,Yes,"[Timestamp('2017-10-02 10:56:33'), Timestamp('2018-07-24 20:41:37'), Timestamp('2018-08-08 08:38:49'), Timestamp('2017-11-18 19:28:06'), Timestamp('2018-02-13 21:18:39')]",,NexaCart_Data.xlsx,99441,8,,,2017-11-20 10:59:08
orders_dataset,order_approved_at,datetime64[us],Datetime,Yes,0.16,91.24,No,"[Timestamp('2017-10-02 11:07:15'), Timestamp('2018-07-26 03:24:27'), Timestamp('2018-08-08 08:55:23'), Timestamp('2017-11-18 19:45:59'), Timestamp('2018-02-13 22:20:29')]",,NexaCart_Data.xlsx,99441,8,,,2018-02-27 04:31:10
orders_dataset,order_delivered_carrier_date,datetime64[us],Datetime,Yes,1.79,81.47,No,"[Timestamp('2017-10-04 19:55:00'), Timestamp('2018-07-26 14:31:00'), Timestamp('2018-08-08 13:50:00'), Timestamp('2017-11-22 13:39:59'), Timestamp('2018-02-14 19:46:34')]",,NexaCart_Data.xlsx,99441,8,,,2018-05-09 15:48:00
