column_name,count,unique_values,mode,mode_frequency,avg_length,min_length,max_length,top_10_values
Column1,72,72,agro_industria_e_comercio,1,17.03,3,46,"{'product_category_name': 1, 'beleza_saude': 1, 'informatica_acessorios': 1, 'automotivo': 1, 'cama_mesa_banho': 1, 'moveis_decoracao': 1, 'esporte_lazer': 1, 'perfumaria': 1, 'utilidades_domesticas': 1, 'telefonia': 1}"
Column2,72,72,agro_industry_and_commerce,1,16.25,3,39,"{'product_category_name_english': 1, 'health_beauty': 1, 'computers_accessories': 1, 'auto': 1, 'bed_bath_table': 1, 'furniture_decor': 1, 'sports_leisure': 1, 'perfumery': 1, 'housewares': 1, 'telephony': 1}"
