column_name,count,min,max,mean,median,std,variance,q1,q3,iqr,skewness,kurtosis,zero_count,negative_count
product_name_lenght,32341,5.0,76.0,48.4769,51.0,10.2457,104.9752,42.0,57.0,15.0,-0.9032,0.1926,0,0
product_description_lenght,32341,4.0,3992.0,771.4953,595.0,635.1152,403371.3486,339.0,972.0,633.0,1.9621,4.8289,0,0
product_photos_qty,32341,1.0,20.0,2.189,1.0,1.7368,3.0164,1.0,3.0,2.0,2.1934,7.2635,0,0
product_weight_g,32949,0.0,40425.0,2276.4725,700.0,4282.0387,18335855.6936,300.0,1900.0,1600.0,3.6049,15.1336,4,0
product_length_cm,32949,7.0,105.0,30.8151,25.0,16.9145,286.0989,18.0,38.0,20.0,1.7505,3.5136,0,0
product_height_cm,32949,2.0,105.0,16.9377,13.0,13.6376,185.9829,8.0,21.0,13.0,2.1401,6.6786,0,0
product_width_cm,32949,6.0,118.0,23.1967,20.0,12.079,145.9034,15.0,30.0,15.0,1.671,4.0731,0,0
