column_name,count,unique_values,mode,mode_frequency,avg_length,min_length,max_length,top_10_values
product_id,32951,32951,00066f42aeeb9f3007548bb9d3f33c38,1,32.0,32,32,"{'1e9e8ef04dbcff4541ed26657ea517e5': 1, '3aa071139cb16b67ca9e5dea641aaa2f': 1, '96bd76ec8810374ed1b65e291975717f': 1, 'cef67bcfe19066a932b7673e239eb23d': 1, '9dc1a7de274444849c219cff195d0b71': 1, '41d3672d4792049fa1779bb35283ed13': 1, '732bd381ad09e530fe0a5f457d81becb': 1, '2548af3e6e77a690cf3eb6368e9ab61e': 1, '37cc742be07708b53a98702e77a21a02': 1, '8c92109888e8cdf9d66dc7e463025574': 1}"
product_category_name,32341,73,cama_mesa_banho,3029,14.96,3,46,"{'cama_mesa_banho': 3029, 'esporte_lazer': 2867, 'moveis_decoracao': 2657, 'beleza_saude': 2444, 'utilidades_domesticas': 2335, 'automotivo': 1900, 'informatica_acessorios': 1639, 'brinquedos': 1411, 'relogios_presentes': 1329, 'telefonia': 1134}"
