column_name,count,unique_values,mode,mode_frequency,avg_length,min_length,max_length,top_10_values
customer_id,99441,99441,00012a2ce6f8dcda20d059ce98491703,1,32.0,32,32,"{'06b8999e2fba1a1fbc88172c00ba8bc7': 1, '18955e83d337fd6b2def6b18a428ac77': 1, '4e7b3e00288586ebd08712fdd0374a03': 1, 'b2b6027bc5c5109e529d4dc6358b12c3': 1, '4f2d8ab171c80ec8364f7c12e35b23ad': 1, '879864dab9bc3047522c92c82e1212b8': 1, 'fd826e7cf63160e536e0908c76c3f441': 1, '5e274e7a0c3809e14aba7ad5aae0d407': 1, '5adf08e34b2e993982a47070956c5c65': 1, '4b7139f34592b3a31687243a302fa75b': 1}"
customer_unique_id,99441,96096,8d50f5eadf50201ccdcedfb9e2ac8455,17,32.0,32,32,"{'8d50f5eadf50201ccdcedfb9e2ac8455': 17, '3e43e6105506432c953e165fb2acf44c': 9, '1b6c7548a2a1f9037c1fd3ddfed95f33': 7, '6469f99c1f9dfae7733b25662e7f1782': 7, 'ca77025e7201e3b30c44b472ff346268': 7, '47c1a3033b8b77b3ab6e109eb4d5fdf3': 6, 'dc813062e0fc23409cd255f7f53c7074': 6, '63cfc61cee11cbe306bff5857d00bfe4': 6, 'f0e310a6839dce9de1638e0fe5ab282a': 6, 'de34b16117594161a6a89c50b289d35a': 6}"
customer_city,99441,4119,sao paulo,15540,10.34,3,32,"{'sao paulo': 15540, 'rio de janeiro': 6882, 'belo horizonte': 2773, 'brasilia': 2131, 'curitiba': 1521, 'campinas': 1444, 'porto alegre': 1379, 'salvador': 1245, 'guarulhos': 1189, 'sao bernardo do campo': 938}"
customer_state,99441,27,SP,41746,2.0,2,2,"{'SP': 41746, 'RJ': 12852, 'MG': 11635, 'RS': 5466, 'PR': 5045, 'SC': 3637, 'BA': 3380, 'DF': 2140, 'ES': 2033, 'GO': 2020}"
