column_name,count,min,max,mean,median,std,variance,q1,q3,iqr,skewness,kurtosis,zero_count,negative_count
geolocation_zip_code_prefix,1000163,1001.0,99990.0,36574.1665,26530.0,30549.3357,933261912.3418,11075.0,63504.0,52429.0,0.6945,-0.9412,0,0
geolocation_lat,1000163,-36.6053744107061,45.06593318269697,-21.1762,-22.9194,5.7159,32.6711,-23.6035,-19.9796,3.6239,1.5651,2.8501,0,998827
geolocation_lng,1000163,-101.46676644931476,121.10539381057764,-46.3905,-46.6379,4.2697,18.2308,-48.5732,-43.7677,4.8055,-0.1024,4.7271,0,1000160
