column_name,count,unique_values,mode,mode_frequency,avg_length,min_length,max_length,top_10_values
order_id,112650,98666,8272b63d03f5f79c56e9e4120aec44ef,21,32.0,32,32,"{'8272b63d03f5f79c56e9e4120aec44ef': 21, '1b15974a0141d54e36626dca3fdc731a': 20, 'ab14fdcfbe524636d65ee38360e22ce8': 20, '428a2f660dc84138d969ccd69a0ab6d5': 15, '9ef13efd6949e4573a18964dd1bbe7f5': 15, '73c8ab38f07dc94389065f7eba4f297a': 14, '9bdc4d4c71aa1de4606060929dee888c': 14, '37ee401157a3a0b28c9c6d0ed8c3b24b': 13, '2c2a19b5703863c908512d135aa6accc': 12, '3a213fcdfe7d98be74ea0dc05a8b31ae': 12}"
product_id,112650,32951,aca2eb7d00ea1a7b8ebd4e68314663af,527,32.0,32,32,"{'aca2eb7d00ea1a7b8ebd4e68314663af': 527, '99a4788cb24856965c36a24e339b6058': 488, '422879e10f46682990de24d770e7f83d': 484, '389d119b48cf3043d311335e499d9c6b': 392, '368c6c730842d78016ad823897a372db': 388, '53759a2ecddad2bb87a079a1f1519f73': 373, 'd1c427060a0f73f6b889a5c7c61f2ac4': 343, '53b36df67ebb7c41585e8d54d6772e08': 323, '154e7e31ebfa092203795c972e5804a6': 281, '3dd2a17168ec895c781a9191c1e95ad7': 274}"
seller_id,112650,3095,6560211a19b47992c3666cc44a7e94c0,2033,32.0,32,32,"{'6560211a19b47992c3666cc44a7e94c0': 2033, '4a3ca9315b744ce9f8e9374361493884': 1987, '1f50f920176fa81dab994f9023523100': 1931, 'cc419e0650a3c5ba77189a1882b7556a': 1775, 'da8622b14eb17ae2831f4ac5b9dab84a': 1551, '955fee9216a65b617aa5c0531780ce60': 1499, '1025f0e2d44d7041d6cf58b6550e0bfa': 1428, '7c67e1448b00f6e969d365cea6b010ab': 1364, 'ea8482cd71df3c1969d7b9473ff13abc': 1203, '7a67c85e85bb2ce8582c35f2203ad736': 1171}"
shipping_limit_date,112650,93318,2017-07-21 18:25:23,21,19.0,19,19,"{Timestamp('2018-03-01 02:50:48'): 21, Timestamp('2017-07-21 18:25:23'): 21, Timestamp('2017-08-30 14:30:23'): 20, Timestamp('2017-11-30 10:30:51'): 15, Timestamp('2017-12-21 02:30:41'): 15, Timestamp('2017-02-03 21:44:49'): 15, Timestamp('2018-02-28 11:48:12'): 14, Timestamp('2018-04-19 02:30:52'): 13, Timestamp('2018-06-13 17:30:35'): 13, Timestamp('2018-04-25 22:11:43'): 13}"
