column_name,count,unique_values,mode,mode_frequency,avg_length,min_length,max_length,top_10_values
order_id,99441,99441,00010242fe8c5a6d1ba2dd792cb16214,1,32.0,32,32,"{'e481f51cbdc54678b7cc49136f2d6af7': 1, '53cdb2fc8bc7dce0b6741e2150273451': 1, '47770eb9100c2d0c44946d9cf07ec65d': 1, '949d5b44dbf5de918fe9c16f97b45f8a': 1, 'ad21c59c0840e6cb83a9ceb5573f8159': 1, 'a4591c265e18cb1dcee52889e2d8acc3': 1, '136cce7faa42fdb2cefd53fdc79a6098': 1, '6514b8ad8028c9f2cc2374ded245783f': 1, '76c6e866289321a7c93b82b54852dc33': 1, 'e69bfb5eb88e0ed6a785585b27e16dbf': 1}"
customer_id,99441,99441,00012a2ce6f8dcda20d059ce98491703,1,32.0,32,32,"{'9ef432eb6251297304e76186b10a928d': 1, 'b0830fb4747a6c6d20dea0b8c802d7ef': 1, '41ce2a54c0b03bf3443c3d931a367089': 1, 'f88197465ea7920adcdbec7375364d82': 1, '8ab97904e6daea8866dbdbc4fb7aad2c': 1, '503740e9ca751ccdda7ba28e9ab8f608': 1, 'ed0271e0b7da060a393796590e7b737a': 1, '9bdf08b4b3b52b5526ff42d37d47f222': 1, 'f54a9f0e6b351c431402b8461ea51999': 1, '31ad1d1b63eb9962463f764d4e6e0c9d': 1}"
order_status,99441,8,delivered,96478,8.98,7,11,"{'delivered': 96478, 'shipped': 1107, 'canceled': 625, 'unavailable': 609, 'invoiced': 314, 'processing': 301, 'created': 5, 'approved': 2}"
order_purchase_timestamp,99441,98875,2017-11-20 10:59:08,3,19.0,19,19,"{Timestamp('2018-03-31 15:08:21'): 3, Timestamp('2017-11-20 10:59:08'): 3, Timestamp('2018-08-02 12:06:09'): 3, Timestamp('2018-08-02 12:05:26'): 3, Timestamp('2018-02-19 15:37:47'): 3, Timestamp('2018-04-11 10:48:14'): 3, Timestamp('2017-11-20 11:46:30'): 3, Timestamp('2018-07-28 13:11:22'): 3, Timestamp('2018-08-02 12:06:07'): 3, Timestamp('2018-06-01 13:39:44'): 3}"
order_approved_at,99281,90733,2018-02-27 04:31:10,9,19.0,19,19,"{Timestamp('2018-02-27 04:31:10'): 9, Timestamp('2017-11-07 07:30:38'): 7, Timestamp('2018-02-06 05:31:52'): 7, Timestamp('2018-07-05 16:33:01'): 7, Timestamp('2017-11-07 07:30:29'): 7, Timestamp('2018-01-10 10:32:03'): 7, Timestamp('2017-12-05 10:30:42'): 7, Timestamp('2018-02-27 04:31:01'): 7, Timestamp('2018-02-06 04:33:11'): 6, Timestamp('2017-12-01 11:31:59'): 6}"
order_delivered_carrier_date,97658,81018,2018-05-09 15:48:00,47,19.0,19,19,"{Timestamp('2018-05-09 15:48:00'): 47, Timestamp('2018-05-10 18:29:00'): 32, Timestamp('2018-05-07 12:31:00'): 21, Timestamp('2018-07-24 16:07:00'): 16, Timestamp('2018-05-02 15:15:00'): 16, Timestamp('2018-08-08 15:01:00'): 15, Timestamp('2018-05-16 13:44:00'): 15, Timestamp('2018-08-03 15:10:00'): 15, Timestamp('2018-07-17 14:16:00'): 15, Timestamp('2018-05-02 12:26:00'): 14}"
order_delivered_customer_date,96476,95664,2016-10-27 17:32:07,3,19.0,19,19,"{Timestamp('2018-05-14 20:02:44'): 3, Timestamp('2016-10-27 17:32:07'): 3, Timestamp('2018-05-08 23:38:46'): 3, Timestamp('2018-07-24 21:36:42'): 3, Timestamp('2017-12-02 00:26:45'): 3, Timestamp('2017-06-19 18:47:51'): 3, Timestamp('2018-05-08 19:36:48'): 3, Timestamp('2018-02-14 21:09:19'): 3, Timestamp('2018-03-21 22:03:54'): 2, Timestamp('2017-05-29 12:47:20'): 2}"
order_estimated_delivery_date,99441,459,2017-12-20 00:00:00,522,10.0,10,10,"{Timestamp('2017-12-20 00:00:00'): 522, Timestamp('2018-03-12 00:00:00'): 516, Timestamp('2018-03-13 00:00:00'): 513, Timestamp('2018-05-29 00:00:00'): 513, Timestamp('2018-02-14 00:00:00'): 507, Timestamp('2017-12-18 00:00:00'): 493, Timestamp('2018-03-06 00:00:00'): 492, Timestamp('2018-05-28 00:00:00'): 492, Timestamp('2018-02-06 00:00:00'): 491, Timestamp('2018-04-12 00:00:00'): 490}"
